,idx,time,Temp,dailyDelivered,isWeekend
0,1,2020-04-29 00:00:00,62.965,1146356.8119000008,False
1,2,2020-04-30 00:00:00,56.15958333,1156986.045850002,False
2,3,2020-05-01 00:00:00,61.965,1181936.234343,False
3,4,2020-05-02 00:00:00,67.86083333,1106728.5478870003,True
4,5,2020-05-03 00:00:00,54.88166667,1110877.8299040007,True
5,6,2020-05-04 00:00:00,58.57625,1136040.1687629991,False
6,7,2020-05-05 00:00:00,55.08625,1156318.4807909986,False
7,8,2020-05-06 00:00:00,54.08208333,1150619.1686130015,False
8,9,2020-05-07 00:00:00,54.38333333,1142136.7467079987,False
9,10,2020-05-08 00:00:00,56.80791667,1121798.605427002,False
10,11,2020-05-09 00:00:00,48.02333333,1079487.1325609998,True
11,12,2020-05-10 00:00:00,51.98833333,1088269.262455003,True
12,13,2020-05-11 00:00:00,50.45458333,1135122.2591209977,False
13,14,2020-05-12 00:00:00,40.18166667,1171209.7998590013,False
14,15,2020-05-13 00:00:00,47.92416667,1181579.6457739999,False
15,16,2020-05-14 00:00:00,58.36333333,1176352.0975609997,False
16,17,2020-05-15 00:00:00,57.03041667,1159769.6461640026,False
17,18,2020-05-16 00:00:00,55.05083333,1126342.7970750004,True
18,19,2020-05-17 00:00:00,59.57541667,1113490.658504,True
19,20,2020-05-18 00:00:00,56.4175,1201289.0387580004,False
20,21,2020-05-19 00:00:00,65.71708333,1222501.7691170007,False
21,22,2020-05-20 00:00:00,70.82041667,1227965.5690559996,False
22,23,2020-05-21 00:00:00,72.43875,1189615.338038002,False
23,24,2020-05-22 00:00:00,61.17,1195843.756777998,False
24,25,2020-05-23 00:00:00,64.66916667,1145982.3232469985,True
25,26,2020-05-24 00:00:00,63.92458333,1055091.4382999998,True
26,27,2020-05-25 00:00:00,50.745,1084434.4145750005,False
27,28,2020-05-26 00:00:00,54.08958333,1187352.9492749977,False
28,29,2020-05-27 00:00:00,62.335,1204424.098925,False
29,30,2020-05-28 00:00:00,66.61458333,1164583.7148830006,False
30,31,2020-05-29 00:00:00,64.40916667,1129500.284221997,False
31,32,2020-05-30 00:00:00,69.52208333,1061268.9076930017,True
32,33,2020-05-31 00:00:00,69.38583333,1079566.8006819976,True
33,34,2020-06-01 00:00:00,70.04708333,1265492.7758729998,False
34,35,2020-06-02 00:00:00,74.66416667,1302671.1196760025,False
35,36,2020-06-03 00:00:00,76.38833333,1278077.5352429987,False
36,37,2020-06-04 00:00:00,73.37625,1275071.2063150015,False
37,38,2020-06-05 00:00:00,74.93875,1266252.7839890034,False
38,39,2020-06-06 00:00:00,75.82041667,1160136.2269900006,True
39,40,2020-06-07 00:00:00,68.99875,1173916.548644999,True
40,41,2020-06-08 00:00:00,69.24458333,1211293.567286001,False
41,42,2020-06-09 00:00:00,60.22875,1216286.2965459998,False
42,43,2020-06-10 00:00:00,56.125,1223340.5282739983,False
43,44,2020-06-11 00:00:00,65.09375,1243550.3737980009,False
44,45,2020-06-12 00:00:00,68.46583333,1251614.7379080001,False
45,46,2020-06-13 00:00:00,72.07666667,1217158.3518400001,True
46,47,2020-06-14 00:00:00,71.02625,1231489.3331359965,True
47,48,2020-06-15 00:00:00,76.97375,1237789.1164860022,False
48,49,2020-06-16 00:00:00,72.0275,1309405.0030509972,False
49,50,2020-06-17 00:00:00,74.37458333,1261043.6814380004,False
50,51,2020-06-18 00:00:00,73.21458333,1220828.379818,False
51,52,2020-06-19 00:00:00,62.3525,1209271.0156709973,False
52,53,2020-06-20 00:00:00,58.44875,1186279.1781630008,True
53,54,2020-06-21 00:00:00,66.935,1177759.4432090004,True
54,55,2020-06-22 00:00:00,68.76625,1253855.2998420037,False
55,56,2020-06-23 00:00:00,69.9,1279109.0793769988,False
56,57,2020-06-24 00:00:00,69.94083333,1283628.541565003,False
57,58,2020-06-25 00:00:00,73.09416667,1270525.2671710001,False
58,59,2020-06-26 00:00:00,72.24791667,1259729.1681030022,False
59,60,2020-06-27 00:00:00,66.91166667,1206733.8056749983,True
60,61,2020-06-28 00:00:00,71.05541667,1200598.2729670014,True
61,62,2020-06-29 00:00:00,72.78833333,1275385.2415859997,False
62,63,2020-06-30 00:00:00,75.32791667,1266942.1602269968,False
63,64,2020-07-01 00:00:00,68.465,1254246.3837139995,False
64,65,2020-07-02 00:00:00,70.61875,1274477.241953998,False
65,66,2020-07-03 00:00:00,75.27875,1243056.8627219985,False
66,67,2020-07-04 00:00:00,75.50333333,1186807.8538360018,True
67,68,2020-07-05 00:00:00,71.82375,1176797.0070989972,True
68,69,2020-07-06 00:00:00,72.43958333,1293478.0489250037,False
69,70,2020-07-07 00:00:00,75.49166667,1328324.0398240034,False
70,71,2020-07-08 00:00:00,78.23625,1310413.6720970005,False
71,72,2020-07-09 00:00:00,76.47916667,1300788.7384159975,False
72,73,2020-07-10 00:00:00,75.61833333,1287365.7778880002,False
73,74,2020-07-11 00:00:00,79.25833333,1225314.3558909982,True
74,75,2020-07-12 00:00:00,78.17875,1197954.6463000006,True
75,76,2020-07-13 00:00:00,79.01875,1245809.299199,False
76,77,2020-07-14 00:00:00,77.39333333,1252252.6877999986,False
77,78,2020-07-15 00:00:00,66.61541667,1286738.1034009983,False
78,79,2020-07-16 00:00:00,67.92291667,1286049.8593000015,False
79,80,2020-07-17 00:00:00,74.87208333,1196327.6464740008,False
80,81,2020-07-18 00:00:00,78.34041667,1139339.0691150015,True
81,82,2020-07-19 00:00:00,79.40833333,1143406.3904749968,True
82,83,2020-07-20 00:00:00,76.15375,1203555.8225499992,False
83,84,2020-07-21 00:00:00,74.23916667,1172753.5439730017,False
84,85,2020-07-22 00:00:00,72.59333333,1154730.931396004,False
85,86,2020-07-23 00:00:00,73.96625,1179807.382367997,False
86,87,2020-07-24 00:00:00,77.69916667,1198716.7438500014,False
87,88,2020-07-25 00:00:00,74.90666667,1171882.1406419987,True
88,89,2020-07-26 00:00:00,74.12,1155496.6081659992,True
89,90,2020-07-27 00:00:00,71.96333333,1213695.7909000006,False
90,91,2020-07-28 00:00:00,72.88375,1221277.2789790018,False
91,92,2020-07-29 00:00:00,70.30916667,1223300.666009,False
92,93,2020-07-30 00:00:00,72.70916667,1211657.822842002,False
93,94,2020-07-31 00:00:00,67.22041667,1211058.744099999,False
94,95,2020-08-01 00:00:00,72.36583333,1181703.0032000027,True
95,96,2020-08-02 00:00:00,72.35083333,1187636.204100002,True
96,97,2020-08-03 00:00:00,71.54375,1232664.1549999984,False
97,98,2020-08-04 00:00:00,70.27375,1227257.1015999995,False
98,99,2020-08-05 00:00:00,72.82833333,1140039.3642000002,False
99,100,2020-08-06 00:00:00,71.29833333,1125638.3102109972,False
100,101,2020-08-07 00:00:00,72.27875,1117620.6318819989,False
101,102,2020-08-08 00:00:00,76.49583333,1059805.3058309967,True
102,103,2020-08-09 00:00:00,76.23166667,1058256.8570889991,True
103,104,2020-08-10 00:00:00,77.63166667,1117815.3483240036,False
104,105,2020-08-11 00:00:00,72.91291667,1101784.9105760024,False
105,106,2020-08-12 00:00:00,75.13041667,1106032.2486009996,False
106,107,2020-08-13 00:00:00,72.80083333,1114066.1397660023,False
107,108,2020-08-14 00:00:00,76.28833333,1108005.2778600028,False
108,109,2020-08-15 00:00:00,71.95333333,1071037.1228010005,True
109,110,2020-08-16 00:00:00,72.03708333,1091955.935322003,True
110,111,2020-08-17 00:00:00,77.39916667,1159954.936777002,False
111,112,2020-08-18 00:00:00,76.96,1140583.2788999996,False
112,113,2020-08-19 00:00:00,78.41333333,1134983.8145999971,False
113,114,2020-08-20 00:00:00,75.4975,1141852.6351000036,False
114,115,2020-08-21 00:00:00,74.88458333,1135503.2417,False
