idx,time,Temp,dailyDelivered,isWeekend
1,1/1/2019 0:00,5.541666667,324363.8343,FALSE
2,1/2/2019 0:00,19.23791667,375162.4402,FALSE
3,1/3/2019 0:00,32.9275,358205.3275,FALSE
4,1/4/2019 0:00,39.55958333,341761.9669,FALSE
5,1/5/2019 0:00,41.17291667,299086.4413,TRUE
6,1/6/2019 0:00,40.68541667,282835.569,TRUE
7,1/7/2019 0:00,39.69208333,336335.5524,FALSE
8,1/8/2019 0:00,32.37166667,346423.2357,FALSE
9,1/9/2019 0:00,30.22,356998.0579,FALSE
10,1/10/2019 0:00,42.04625,339838.9025,FALSE
11,1/11/2019 0:00,36.99333333,342053.4658,FALSE
12,1/12/2019 0:00,34.28916667,300995.7213,TRUE
13,1/13/2019 0:00,28.33375,293660.6909,TRUE
14,1/14/2019 0:00,30.34291667,348695.5571,FALSE
15,1/15/2019 0:00,32.88291667,348203.4473,FALSE
16,1/16/2019 0:00,36.28666667,342332.6616,FALSE
17,1/17/2019 0:00,39.3575,338585.6953,FALSE
18,1/18/2019 0:00,35.46166667,338185.4636,FALSE
19,1/19/2019 0:00,33.01375,298004.4716,TRUE
20,1/20/2019 0:00,37.18,281335.3055,TRUE
21,1/21/2019 0:00,33.635,329120.2647,FALSE
22,1/22/2019 0:00,26.48083333,355950.2474,FALSE
23,1/23/2019 0:00,26.96458333,352579.7853,FALSE
24,1/24/2019 0:00,22.56791667,350786.7622,FALSE
25,1/25/2019 0:00,24.27875,347921.8325,FALSE
26,1/26/2019 0:00,31.42875,307182.6582,TRUE
27,1/27/2019 0:00,40.5775,281770.512,TRUE
28,1/28/2019 0:00,26.69666667,342771.5751,FALSE
29,1/29/2019 0:00,20.67083333,357850.0418,FALSE
30,1/30/2019 0:00,24.46041667,356470.4433,FALSE
31,1/31/2019 0:00,34.40791667,340374.4209,FALSE
32,2/1/2019 0:00,38.07875,330655.6978,FALSE
33,2/2/2019 0:00,40.39875,291456.1127,TRUE
34,2/3/2019 0:00,43.30208333,269238.0742,TRUE
35,2/4/2019 0:00,35.50458333,324775.1956,FALSE
36,2/5/2019 0:00,27.60916667,341668.7757,FALSE
37,2/6/2019 0:00,13.45416667,368222.5028,FALSE
38,2/7/2019 0:00,1.414166667,387504.0669,FALSE
39,2/8/2019 0:00,11.32166667,378033.1692,FALSE
40,2/9/2019 0:00,21.4175,324048.7429,TRUE
41,2/10/2019 0:00,21.34916667,305692.989,TRUE
42,2/11/2019 0:00,22.09625,361240.8084,FALSE
43,2/12/2019 0:00,37.09166667,344258.9902,FALSE
44,2/13/2019 0:00,44.8775,332134.2135,FALSE
45,2/14/2019 0:00,41.29041667,330350.1704,FALSE
46,2/15/2019 0:00,34.2275,332135.6385,FALSE
47,2/16/2019 0:00,28.845,308191.4588,TRUE
48,2/17/2019 0:00,22.41416667,301379.1845,TRUE
49,2/18/2019 0:00,12.2325,366926.4159,FALSE
50,2/19/2019 0:00,15.53958333,377725.8474,FALSE
51,2/20/2019 0:00,21.57875,363928.6547,FALSE
52,2/21/2019 0:00,22.43,362998.0099,FALSE
53,2/22/2019 0:00,21.7975,364158.0238,FALSE
54,2/23/2019 0:00,30.46666667,310802.2259,TRUE
55,2/24/2019 0:00,33.85166667,290039.7557,TRUE
56,2/25/2019 0:00,28.58541667,342199.4988,FALSE
57,2/26/2019 0:00,31.02625,346281.146,FALSE
58,2/27/2019 0:00,22.64083333,360456.1139,FALSE
59,2/28/2019 0:00,35.29375,348776.7368,FALSE
60,3/1/2019 0:00,37.61541667,332291.8764,FALSE
61,3/2/2019 0:00,17.79916667,316296.3283,TRUE
62,3/3/2019 0:00,0.18375,325517.2478,TRUE
63,3/4/2019 0:00,3.1125,380115.4407,FALSE
64,3/5/2019 0:00,14.7025,375354.0543,FALSE
65,3/6/2019 0:00,29.39291667,353396.7909,FALSE
66,3/7/2019 0:00,30.60708333,350764.6856,FALSE
